athlete_id,activity_id,date,week_no,hrr_window_start_secs,hrr_window_end_secs,HRR(30)
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_05_04_40_24.csv,2020-03-05T02:40:24.000000,29,3417,3446,12
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_05_04_40_24.csv,2020-03-05T02:40:24.000000,29,3740,3769,6
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_06_04_42_06.csv,2020-03-06T02:42:06.000000,29,3036,3065,29
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,774,803,23
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,1675,1704,32
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,2169,2198,42
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,3589,3618,36
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,5774,5803,41
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,6774,6803,27
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,7337,7366,34
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,7459,7488,39
3a74749c-d364-465a-8b26-47a6a58ddc55,2020_03_07_06_01_52.csv,2020-03-07T04:01:52.000000,29,10797,10826,13
091ff782-d063-4411-9f40-9b679eaf44da,2019_03_23_09_18_10.csv,2019-03-23T08:18:10.000000,18,25909,25938,2
091ff782-d063-4411-9f40-9b679eaf44da,2019_03_30_13_51_59.csv,2019-03-30T12:51:59.000000,19,2269,2298,23
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_05_16_34_33.csv,2019-04-05T14:34:33.000000,20,10772,10801,5
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,8295,8324,11
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,8525,8554,2
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,13308,13337,16
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,13434,13463,8
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,14615,14644,19
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,15653,15682,13
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,17951,17980,13
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_13_14_00_12.csv,2019-04-13T12:00:12.000000,21,18995,19024,37
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_21_15_58_40.csv,2019-04-21T13:58:40.000000,22,10760,10789,9
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_21_15_58_40.csv,2019-04-21T13:58:40.000000,22,11297,11326,32
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_21_15_58_40.csv,2019-04-21T13:58:40.000000,22,12152,12181,0
091ff782-d063-4411-9f40-9b679eaf44da,2019_04_21_15_58_40.csv,2019-04-21T13:58:40.000000,22,12229,12258,7
